Date,Open,High,Low,Close,Adj Close,Volume
2023-03-21,207.699997,208.580002,204.490005,207.880005,207.880005,2722800
2023-03-22,206.720001,209.229996,203.960007,204.000000,204.000000,2039800
2023-03-23,204.839996,208.240005,203.029999,207.000000,207.000000,2120100
2023-03-24,206.630005,206.949997,203.050003,204.479996,204.479996,2302500
2023-03-27,204.479996,206.289993,203.550003,205.270004,205.270004,1400300
2023-03-28,204.649994,205.720001,201.350006,203.279999,203.279999,1180800
2023-03-29,205.220001,206.660004,204.699997,206.000000,206.000000,1184900
2023-03-30,207.339996,207.990005,205.389999,207.009995,207.009995,1629700
2023-03-31,208.000000,210.229996,207.440002,210.089996,210.089996,2104000
2023-04-03,209.000000,211.600006,208.729996,211.389999,211.389999,1603400
2023-04-04,212.190002,214.139999,210.889999,211.509995,211.509995,1228700
2023-04-05,210.119995,211.080002,206.139999,207.559998,207.559998,1455100
2023-04-06,205.389999,209.259995,205.330002,208.520004,208.520004,1885700
2023-04-10,207.240005,214.130005,207.020004,213.610001,213.610001,2167900
2023-04-11,212.460007,214.949997,212.360001,213.889999,213.889999,1530400
2023-04-12,215.000000,216.330002,211.809998,212.179993,212.179993,1416600
2023-04-13,212.880005,217.669998,212.880005,217.009995,217.009995,1640000
2023-04-14,214.869995,216.729996,212.919998,214.550003,214.550003,1273100
2023-04-17,215.000000,215.479996,211.729996,213.160004,213.160004,895700
2023-04-18,214.860001,215.520004,212.940002,213.770004,213.770004,915300
2023-04-19,212.869995,214.059998,212.229996,213.669998,213.669998,937600
2023-04-20,212.360001,215.779999,212.360001,213.729996,213.729996,1173000
2023-04-21,213.580002,214.479996,210.360001,213.000000,213.000000,1461000
2023-04-24,212.779999,214.809998,212.369995,212.979996,212.979996,1416100
2023-04-25,200.600006,204.699997,194.009995,203.899994,203.899994,5320600
2023-04-26,203.899994,207.330002,203.039993,203.610001,203.610001,2223000
2023-04-27,204.839996,208.440002,202.660004,207.860001,207.860001,1738800
2023-04-28,207.830002,211.949997,207.690002,209.449997,209.449997,1996200
2023-05-01,209.300003,211.500000,207.699997,210.649994,210.649994,1075600
2023-05-02,211.309998,212.910004,207.869995,208.970001,208.970001,1435100
2023-05-03,208.979996,209.960007,207.039993,207.449997,207.449997,1084400
2023-05-04,208.100006,208.669998,204.949997,205.029999,205.029999,1271900
2023-05-05,205.940002,206.990005,203.369995,205.240005,205.240005,1749100
2023-05-08,205.429993,206.330002,203.559998,205.559998,205.559998,734800
2023-05-09,205.139999,206.289993,203.229996,204.029999,204.029999,1024600
2023-05-10,205.699997,206.229996,202.330002,204.190002,204.190002,1404000
2023-05-11,203.679993,203.720001,199.320007,201.460007,201.460007,1841400
2023-05-12,202.039993,202.410004,199.860001,201.160004,201.160004,1223000
2023-05-15,200.860001,202.339996,198.919998,202.309998,202.309998,1434500
2023-05-16,202.309998,203.539993,201.729996,202.460007,202.460007,1254100
2023-05-17,202.660004,205.619995,202.080002,204.149994,204.149994,1293100
2023-05-18,205.529999,217.460007,205.460007,216.839996,216.839996,3005400
2023-05-19,217.910004,219.089996,214.779999,216.710007,216.710007,1751600
2023-05-22,215.550003,215.940002,211.399994,211.630005,211.630005,1847100
2023-05-23,210.880005,211.070007,205.179993,205.759995,205.759995,1571100
2023-05-24,204.410004,204.949997,203.130005,203.669998,203.669998,1520700
2023-05-25,208.750000,225.460007,208.500000,224.490005,224.490005,3818800
2023-05-26,226.259995,232.139999,226.149994,228.330002,228.330002,2810100
2023-05-30,231.979996,239.000000,231.509995,234.750000,234.750000,3316600
2023-05-31,231.350006,234.250000,228.740005,230.910004,230.910004,3149000
2023-06-01,228.570007,233.979996,227.639999,232.389999,232.389999,1964200
2023-06-02,232.149994,233.110001,229.320007,229.690002,229.690002,2098400
2023-06-05,228.240005,234.089996,227.320007,232.330002,232.330002,1766300
2023-06-06,232.880005,233.429993,227.240005,228.779999,228.779999,1235100
2023-06-07,227.770004,230.429993,221.679993,222.470001,222.470001,2273400
2023-06-08,222.119995,229.470001,221.449997,228.080002,228.080002,1778600
2023-06-09,229.589996,232.589996,228.699997,229.300003,229.300003,1295300
2023-06-12,230.910004,233.389999,228.229996,233.220001,233.220001,1444000
2023-06-13,240.190002,242.649994,235.789993,239.000000,239.000000,2092700
2023-06-14,237.240005,238.419998,234.110001,236.059998,236.059998,2684500
2023-06-15,234.880005,239.500000,233.389999,237.770004,237.770004,2757000
2023-06-16,240.740005,240.740005,234.419998,235.839996,235.839996,5007100
2023-06-20,234.520004,236.699997,230.710007,232.529999,232.529999,2393200
2023-06-21,233.000000,233.639999,226.029999,228.009995,228.009995,3129800
2023-06-22,226.110001,228.990005,222.860001,227.000000,227.000000,2683900
2023-06-23,225.470001,227.910004,223.690002,225.320007,225.320007,7001700
2023-06-26,224.639999,228.649994,222.880005,223.009995,223.009995,1438300
2023-06-27,223.509995,229.699997,223.509995,228.800003,228.800003,1591100
2023-06-28,227.690002,230.179993,226.539993,229.360001,229.360001,1462900
2023-06-29,230.770004,231.589996,227.639999,228.539993,228.539993,1063000
2023-06-30,230.990005,235.750000,230.050003,234.520004,234.520004,1923400
2023-07-03,234.380005,235.419998,232.000000,235.399994,235.399994,860300
2023-07-05,233.309998,237.669998,232.350006,232.520004,232.520004,1438600
2023-07-06,228.839996,230.740005,227.500000,230.070007,230.070007,1184900
2023-07-07,229.820007,230.039993,226.110001,226.889999,226.889999,1494600
2023-07-10,227.389999,235.470001,227.389999,234.419998,234.419998,1911500
2023-07-11,234.130005,234.389999,228.720001,231.869995,231.869995,1239100
2023-07-12,236.039993,236.539993,230.460007,232.740005,232.740005,1635600
2023-07-13,236.929993,240.080002,235.610001,239.509995,239.509995,1942200
2023-07-14,239.419998,244.449997,239.419998,240.740005,240.740005,1303300
2023-07-17,240.270004,245.240005,239.710007,244.440002,244.440002,1384100
2023-07-18,244.440002,244.960007,239.059998,244.089996,244.089996,1732000
2023-07-19,244.669998,245.580002,241.559998,242.490005,242.490005,1375500
2023-07-20,245.229996,248.160004,238.149994,238.789993,238.789993,1756700
2023-07-21,241.160004,244.449997,240.830002,242.860001,242.860001,5338000
2023-07-24,242.490005,243.279999,238.110001,241.270004,241.270004,2065700
2023-07-25,231.820007,240.899994,231.559998,238.289993,238.289993,3019000
2023-07-26,236.380005,238.000000,231.570007,233.960007,233.960007,1902700
2023-07-27,238.830002,242.160004,233.970001,234.899994,234.899994,2158700
2023-07-28,237.770004,238.360001,232.580002,234.240005,234.240005,1552900
2023-07-31,234.860001,236.289993,231.410004,234.009995,234.009995,1615300
2023-08-01,231.429993,234.520004,230.320007,233.630005,233.630005,1008100
2023-08-02,231.509995,231.509995,226.419998,228.740005,228.740005,1599500
2023-08-03,227.850006,229.839996,227.389999,228.589996,228.589996,1148400
2023-08-04,229.860001,232.979996,227.029999,229.000000,229.000000,1413200
2023-08-07,230.509995,233.699997,230.089996,232.440002,232.440002,1183800
2023-08-08,229.800003,230.839996,227.940002,228.929993,228.929993,1466200
2023-08-09,228.169998,228.979996,222.220001,225.300003,225.300003,1348600
2023-08-10,228.130005,229.740005,224.279999,225.610001,225.610001,858100
2023-08-11,223.399994,226.759995,222.850006,226.070007,226.070007,949400
2023-08-14,224.960007,228.380005,223.949997,227.899994,227.899994,1053800
2023-08-15,227.960007,228.369995,224.770004,226.160004,226.160004,1171500
2023-08-16,226.509995,227.559998,223.089996,223.240005,223.240005,1134700
2023-08-17,224.250000,225.470001,219.820007,220.309998,220.309998,1169700
2023-08-18,217.770004,221.369995,217.770004,220.550003,220.550003,1080600
2023-08-21,222.429993,226.259995,221.669998,225.000000,225.000000,1341900
2023-08-22,226.899994,227.960007,224.750000,225.509995,225.509995,1003800
2023-08-23,227.279999,234.309998,226.490005,233.580002,233.580002,1936600
2023-08-24,236.979996,237.910004,227.619995,228.039993,228.039993,1489900
2023-08-25,228.000000,233.110001,228.000000,232.509995,232.509995,1293800
2023-08-28,233.970001,234.509995,231.940002,233.550003,233.550003,601400
2023-08-29,232.460007,238.259995,230.860001,237.789993,237.789993,1242300
2023-08-30,238.339996,240.449997,237.940002,239.880005,239.880005,1015500
